epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
74,55113.2,0.4038,0.02589,0.04795,0.13994,0.00083,-4.23185,0.99814,0.99756,0.995,0.96086,0.99814,0.99756,0.995,0.995,0.30948,0.00789,0.02479,0.09813,0.00103,0,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,55407.6,0.40174,0.0249,0.05041,0.13785,0.00082,-4.26313,0.9975,0.99818,0.995,0.96126,0.9975,0.99818,0.995,0.995,0.30862,0.0078,0.02442,0.09725,0.00103,0,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,55697.9,0.40221,0.02463,0.047,0.1379,0.00082,-4.28806,0.99857,0.99797,0.995,0.96211,0.99857,0.99797,0.995,0.995,0.30678,0.00775,0.02402,0.09635,0.00102,0,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,55975.8,0.3974,0.02338,0.04585,0.14433,0.00082,-4.29935,0.99815,0.99692,0.995,0.96156,0.99815,0.99692,0.995,0.995,0.30561,0.00769,0.02301,0.09739,0.00102,0,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,56252,0.39572,0.02702,0.04531,0.14676,0.00082,-4.3121,0.99694,0.99728,0.99499,0.96139,0.99694,0.99728,0.99499,0.99499,0.30569,0.00767,0.02309,0.10042,0.00102,0,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,56526.8,0.39704,0.02493,0.04541,0.13887,0.00081,-4.35209,0.99822,0.99743,0.995,0.96129,0.99822,0.99743,0.995,0.995,0.30452,0.00763,0.02332,0.099,0.00101,0,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,56801.2,0.39839,0.02501,0.04508,0.14093,0.00081,-4.37863,0.99837,0.99796,0.99499,0.96136,0.99837,0.99796,0.99499,0.99499,0.30342,0.00756,0.02271,0.09695,0.00101,0,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,57074.3,0.39084,0.02629,0.04399,0.14122,0.0008,-4.39852,0.99914,0.99824,0.995,0.96229,0.99914,0.99824,0.995,0.995,0.3035,0.00751,0.02302,0.09647,0.00101,0,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,57348.6,0.38839,0.02315,0.04519,0.13864,0.0008,-4.43756,0.99812,0.99717,0.995,0.96275,0.99812,0.99717,0.995,0.995,0.30163,0.00744,0.02322,0.09652,0.00101,0,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,57626.3,0.38698,0.02102,0.04398,0.13525,0.0008,-4.4453,0.99801,0.99812,0.995,0.9626,0.99801,0.99812,0.995,0.995,0.30258,0.00744,0.02256,0.09632,0.00101,0,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,57906.7,0.39115,0.02538,0.04188,0.13896,0.0008,-4.46037,0.99905,0.99727,0.995,0.96285,0.99905,0.99727,0.995,0.995,0.30185,0.00743,0.02188,0.09687,0.00101,0,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,58185.2,0.38478,0.0237,0.04173,0.13592,0.00078,-4.53141,0.99876,0.99803,0.995,0.96256,0.99876,0.99803,0.995,0.995,0.30138,0.00735,0.02103,0.09566,0.001,0,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,58463.3,0.38994,0.02295,0.04242,0.13531,0.00079,-4.52556,0.99762,0.99725,0.995,0.96298,0.99762,0.99725,0.995,0.995,0.30056,0.00733,0.02027,0.09619,0.001,0,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,58739.2,0.38573,0.02132,0.04337,0.13402,0.00079,-4.51957,0.99885,0.99787,0.995,0.96335,0.99885,0.99787,0.995,0.995,0.2991,0.00727,0.02065,0.09492,0.001,0,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,59015.9,0.38048,0.02283,0.0413,0.13201,0.00078,-4.5736,0.99837,0.99719,0.995,0.96379,0.99837,0.99719,0.995,0.995,0.29828,0.00727,0.02039,0.09566,0.00099,0,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
